src_port,dst_port,num_packets,total_bytes,avg_pkt_len,bytes_out,bytes_in,pss_0,pss_1,pss_2,pss_3,pss_4,pss_5,pss_6,pss_7,pss_8,pss_9,iat_mean,iat_std,iat_min,iat_max,iat_cv,tls_version,num_ciphersuites,num_extensions,has_sni,analysis_confidence,is_malware,is_well_known_port,source_file
12308,993,7,5041,720.1428571428571,2786,2255,127,911,1372,845,995,499,292,0,0,0,1.0478333333333334,1.1759610844846111,0.0,3.503,1.1222787508998993,1.2,5,15,1,0.0,0,1,pcap_000.json
57910,995,7,5620,802.8571428571429,3730,1890,686,206,640,281,1409,1403,995,0,0,0,0.7386666666666667,1.1860381762639667,0.013,3.37,1.605647350537861,1.3,5,15,1,0.752848465458538,0,1,pcap_000.json
46782,8443,6,4748,791.3333333333334,2727,2021,1035,855,1315,335,377,831,0,0,0,0,0.7976,0.6117481834872909,0.046,1.861,0.7669861879228823,1.2,5,6,1,0.0,0,1,pcap_000.json
3719,995,7,5318,759.7142857142857,3385,1933,418,270,1091,819,1111,844,765,0,0,0,0.8811666666666668,0.6441162981601658,0.076,1.988,0.7309812349084537,1.3,5,15,1,0.7684356267271971,0,1,pcap_000.json
51660,993,11,11038,1003.4545454545455,6173,4865,1060,524,788,580,1223,1306,617,1052,1091,1403,0.8625000000000002,0.698479956763256,0.175,2.23,0.8098318339284126,1.2,5,15,1,0.8238612587016143,0,1,pcap_000.json
54589,443,7,6509,929.8571428571429,3600,2909,703,1437,1296,481,1449,991,152,0,0,0,1.365,1.2693923743271818,0.037,3.282,0.9299577833898768,1.3,5,15,1,0.7694729482934219,0,1,pcap_000.json
53686,993,10,7833,783.3,4073,3760,923,1021,791,1264,1389,699,442,186,528,590,1.2533333333333334,1.0871759542758275,0.386,4.099,0.8674276230924155,1.2,5,6,1,0.0,0,1,pcap_000.json
26223,443,5,4322,864.4,2668,1654,1367,492,1054,1162,247,0,0,0,0,0,1.82225,1.1152547634957675,0.414,3.364,0.6120207235537207,1.3,5,6,1,0.9713341483240747,0,1,pcap_000.json
3224,443,6,4485,747.5,2103,2382,1226,200,437,1455,440,727,0,0,0,0,0.745,0.663924393285862,0.018,1.891,0.891173682262902,0.0,0,0,0,0.7707569965799342,0,1,pcap_000.json
49428,8443,5,3130,626.0,2347,783,855,586,56,197,1436,0,0,0,0,0,2.52025,1.8354047748385094,0.329,5.212,0.7282629797990317,1.3,5,15,1,0.8659648160595431,0,1,pcap_000.json
53503,993,6,5035,839.1666666666666,2485,2550,605,725,1351,1001,529,824,0,0,0,0,0.959,0.7144362812735646,0.102,2.098,0.7449804809943322,1.2,5,6,1,0.9349328844569624,0,1,pcap_000.json
